#{"t_start": 1713284787.1617033, "env_id": "None"}
r,l,t
1827.232747,65,43394.26183
1573.499363,73,43411.708833
602.485322,40,43420.711038
2508.168422,102,43444.076783
1962.867074,89,43487.059711
1941.600096,80,43504.507882
1215.767135,53,43516.02198
1156.183866,41,43524.689236
554.051017,53,43536.922045
1620.84351,89,43580.654642
58.431228,22,43585.222292
123.299747,17,43588.704169
8355.902964,311,43658.1694
2077.090145,94,43679.517218
1331.666554,49,43690.718652
1566.314888,62,43716.648156
1748.357702,89,43736.963114
4967.304923,198,43782.179376
473.413089,29,43788.694893
1884.926595,97,43810.796361
1276.284336,62,43825.278866
116.688126,10,43827.542535
276.859431,33,43841.662164
920.481627,52,43853.459701
1291.475928,49,43865.175536
1758.771358,62,43879.277617
2224.212526,98,43901.259226
3374.842702,137,43956.653312
127.58089,42,43964.18974
3226.248646,146,43996.204029
5051.965769,189,44039.338737
1264.257219,51,44051.234329
186.898379,14,44076.96556
1574.647475,61,44091.035518
200.619031,15,44094.384012
3790.526866,145,44125.041016
4814.945901,188,44168.230678
752.035753,38,44177.098328
1554.87953,56,44189.829945
204.573137,15,44195.329792
1303.411164,50,44207.026245
3275.269687,108,44231.144925
686.130862,32,44238.108634
1091.182249,44,44248.05868
3066.434496,104,44294.708875
2152.741072,113,44320.424452
1519.188324,72,44336.589311
3840.974152,163,44373.321223
1203.58824,56,44385.774195
315.809446,18,44390.238922
525.898347,36,44417.404818
2834.388096,109,44442.004179
6689.409159,234,44494.865853
2813.791231,113,44520.966436
5766.084246,204,44567.048819
2427.599304,89,44610.763058
2652.973513,107,44635.163567
1085.994095,59,44648.311996
654.182008,32,44656.111262
1361.372558,59,44669.710939
1733.228286,88,44690.225185
204.167661,19,44697.476757
2645.556221,102,44720.692902
2987.791053,124,44748.959464
135.276566,11,44751.510768
3347.167227,129,44782.206681
1870.028542,80,44800.871738
1062.603243,45,44816.417936
2126.115874,78,44834.221447
119.837756,12,44837.103279
3673.759049,152,44871.717087
209.967983,21,44876.519567
849.317603,40,44908.498792
2336.915825,104,44932.433763
10862.642089,417,45026.08108
134.086884,12,45029.16391
2802.560717,116,45055.543434
1950.687943,77,45073.09588
2275.844858,84,45097.694522
1043.905089,53,45110.008534
4195.401177,154,45144.44335
2146.746581,82,45163.256615
1044.492564,41,45172.989639
543.971037,38,45181.95759
1081.952893,49,45193.273633
1209.089389,61,45210.521435
519.926636,44,45220.789246
6291.500738,226,45271.020929
1427.686026,65,45285.670482
1965.461654,83,45303.999596
653.462673,29,45333.799201
6079.700267,372,45414.147868
3809.17432,145,45447.695728
3396.920172,134,45477.696793
2084.305899,85,45496.777792
354.568373,27,45503.228836
3159.107006,136,45551.226518
130.192477,19,45555.589558
1318.296781,60,45568.890116
5500.8904,227,45621.223447
2950.027517,118,45648.02355
1706.96813,64,45685.654008
4296.096559,188,45728.532304
788.465262,41,45737.59987
127.500842,14,45740.599651
2038.692056,96,45761.964364
180.668576,14,45765.232923
1077.282709,51,45777.016372
4696.023958,181,45824.214812
2049.864434,88,45844.280288
5423.580678,206,45891.246974
1347.131487,53,45903.529214
1215.058823,60,45916.894269
1326.861457,55,45929.245075
1690.833357,74,45956.461132
792.875574,32,45963.675025
1686.175368,66,45978.126922
1521.88326,54,45990.124544
5986.887027,249,46043.854239
607.948836,36,46052.288509
241.34337,23,46073.473233
1814.491019,68,46088.905624
2999.993296,131,46118.251773
876.181917,43,46128.035984
155.892632,16,46132.08718
1485.188299,60,46145.836443
1703.38229,71,46170.932827
3395.73722,145,46202.965565
145.275046,25,46208.449253
2352.680864,108,46233.44888
1323.790382,74,46249.898069
776.558433,40,46259.080321
2601.305083,101,46296.727866
295.699874,21,46301.510799
1675.464556,73,46317.910897
1394.409746,67,46333.027168
115.669704,11,46335.562937
2970.693687,136,46389.442028
1225.319716,49,46400.857178
123.928332,10,46403.142956
102.205217,10,46405.60883
186.141093,31,46412.47642
1493.833349,71,46428.691036
164.848481,14,46431.924264
2058.049093,71,46451.923984
1711.729626,54,46463.938574
114.319151,12,46466.789329
1430.152129,57,46480.154509
264.554561,14,46483.321589
1565.3783,65,46498.53708
2252.026247,95,46529.067506
1734.578233,71,46545.970998
281.846232,16,46550.069299
144.570854,14,46553.818124
231.201703,14,46557.033184
81.11209,9,46559.301197
689.278092,30,46566.940316
969.215754,39,46591.418863
442.550451,26,46597.268374
4426.123301,165,46633.417527
2554.524012,129,46663.863925
355.446714,20,46668.382507
178.158659,14,46671.815789
215.867241,25,46678.12925
489.582413,24,46683.713049
2746.437173,119,46720.33032
2528.151656,108,46745.359223
4862.888879,183,46785.443232
111.859125,11,46788.091111
1466.06772,56,46800.758952
105.706328,11,46803.377935
272.469078,25,46809.109113
757.08839,34,46816.856948
1463.26877,56,46837.526881
1830.865158,69,46855.241607
2269.760713,104,46880.690584
1978.350069,69,46896.255944
220.907718,14,46899.405112
150.510793,13,46926.718539
113.711153,20,46930.971866
164.173375,19,46935.370071
691.374651,35,46943.117355
417.899916,24,46948.386503
158.178528,15,46951.752973
1496.738131,60,46965.70185
1833.620422,70,46987.269172
1489.262292,68,47002.452272
937.080646,39,47011.152397
172.398816,18,47014.916392
3746.642843,172,47052.998307
2434.29347,87,47073.299558
4564.854823,159,47111.794369
162.156508,13,47114.663837
2049.501556,86,47134.296038
642.937015,27,47140.080392
9914.552877,363,47217.393791
125.104587,9,47219.908369
2582.704378,88,47240.541642
4654.66253,163,47278.488375
555.361442,37,47286.92357
365.175863,25,47292.473846
2121.767797,93,47313.385146
1683.565844,83,47331.920004
241.4172,20,47336.486123
228.817927,20,47341.071614
3304.262043,132,47384.000115
1045.164924,46,47394.08518
150.070442,22,47399.568609
1659.418348,65,47414.366582
937.110377,80,47430.985698
947.984054,40,47439.665315
3314.209462,126,47482.315878
620.639207,31,47489.081886
998.253917,38,47497.614576
32.094077,16,47501.214286
3373.758809,145,47533.995306
2826.11122,117,47583.294549
3215.889013,113,47608.894078
3288.071874,131,47638.126494
2025.885791,88,47658.176788
2231.34219,81,47676.824318
102.651833,10,47679.305393
398.298004,22,47684.672275
295.405768,15,47688.140447
530.107988,29,47694.891126
96.946522,9,47697.407789
1394.981739,52,47712.792984
1127.46846,49,47723.353055
1282.346542,49,47734.403837
1602.443187,56,47747.036626
1249.469442,62,47761.187809
155.08685,16,47764.801926
1062.948326,41,47774.354536
445.049246,32,47781.721447
1198.184049,46,47794.937519
2082.576272,77,47813.019794
1733.58353,63,47827.26956
6711.826494,270,47888.483426
1379.972969,65,47903.89599
156.750607,13,47907.332891
512.593168,26,47913.746297
331.086127,18,47918.196643
207.484127,17,47922.199021
89.98394,11,47924.912641
3361.838284,137,47959.996216
529.673679,25,47965.76225
1453.018742,63,47979.992966
1373.595834,49,47990.977194
1332.32478,63,48005.312443
640.238371,38,48037.175395
1607.697903,77,48054.30801
2385.690741,104,48079.324848
2034.709611,91,48099.855192
96.2909,10,48102.354415
976.039413,48,48113.508024
904.69206,52,48125.140637
1284.854169,54,48137.454352
128.171047,15,48140.706936
2594.941332,128,48170.071341
1360.247983,56,48183.05209
1286.289852,58,48196.335584
1458.529013,68,48234.786279
1383.979965,54,48248.785014
137.813852,11,48251.485144
189.337001,14,48255.518404
9706.177368,364,48338.029726
106.526466,19,48342.548072
411.073154,33,48350.197227
1042.231695,49,48371.56135
-221.282462,243,48410.947329
1412.16148,69,48426.544457
625.717429,32,48433.958231
890.77752,50,48445.743237
3912.381415,159,48506.074243
